image_file,time,truth,category,lower,estimate,upper
CamC_0463.jpg,2018-12-20 00:32:51,10,train,10,10,10
CamC_0464.jpg,2018-12-20 04:17:11,8,train,8,8,10
CamC_0465.jpg,2018-12-20 04:18:17,9,train,9,13,15
CamC_0466.jpg,2018-12-20 04:19:52,10,train,9,9,11
CamC_0467.jpg,2018-12-20 04:21:26,5,train,5,5,5
CamC_0468.jpg,2018-12-20 04:22:10,8,train,8,8,11
CamC_0469.jpg,2018-12-20 04:27:13,,new,8,9,9
CamC_0470.jpg,2018-12-20 04:37:14,,new,7,7,7
CamC_0471.jpg,2018-12-20 04:47:14,,new,7,7,7
CamC_0472.jpg,2018-12-20 04:57:15,,new,7,9,10
CamC_0473.jpg,2018-12-20 05:07:16,,new,7,7,8
CamC_0474.jpg,2018-12-20 05:17:17,,new,7,9,9
CamC_0475.jpg,2018-12-20 05:27:18,,new,7,7,8
CamC_0476.jpg,2018-12-20 05:37:19,,new,7,7,8
CamC_0477.jpg,2018-12-20 05:47:20,,new,9,9,10
CamC_0478.jpg,2018-12-20 05:57:21,,new,7,7,8
CamC_0479.jpg,2018-12-20 06:07:22,,new,7,7,9
CamC_0480.jpg,2018-12-20 06:17:23,,new,7,7,8
CamC_0481.jpg,2018-12-20 06:27:24,8,train,8,8,10
CamC_0482.jpg,2018-12-20 06:37:25,,new,8,8,9
CamC_0483.jpg,2018-12-20 06:47:26,,new,7,8,8
CamC_0484.jpg,2018-12-20 06:57:27,,new,9,9,11
CamC_0485.jpg,2018-12-20 07:07:28,,new,7,9,9
CamC_0486.jpg,2018-12-20 07:17:29,,new,8,8,10
CamC_0487.jpg,2018-12-20 07:27:30,,new,9,9,12
CamC_0488.jpg,2018-12-20 07:37:31,,new,9,9,12
CamC_0489.jpg,2018-12-20 07:47:32,,new,9,10,11
CamC_0490.jpg,2018-12-20 07:57:33,,new,9,10,13
CamC_0491.jpg,2018-12-20 08:07:34,,new,9,10,14
CamC_0492.jpg,2018-12-20 08:17:35,,new,9,11,11
CamC_0493.jpg,2018-12-20 08:27:36,,new,7,8,11
CamC_0494.jpg,2018-12-20 08:37:37,,new,8,8,11
CamC_0495.jpg,2018-12-20 08:47:38,,new,8,8,10
CamC_0496.jpg,2018-12-20 08:57:39,,new,8,10,10
CamC_0497.jpg,2018-12-20 09:07:40,,new,6,7,12
CamC_0498.jpg,2018-12-20 09:17:41,,new,7,9,12
CamC_0499.jpg,2018-12-20 09:27:42,,new,9,9,10
CamC_0500.jpg,2018-12-20 09:37:43,,new,8,9,11
CamC_0501.jpg,2018-12-20 09:47:44,,new,7,7,9
CamC_0502.jpg,2018-12-20 09:57:45,,new,5,5,7
CamC_0503.jpg,2018-12-20 10:07:46,,new,4,4,7
CamC_0504.jpg,2018-12-20 10:17:47,4,validate,4,4,4
CamC_0505.jpg,2018-12-20 10:27:48,,new,4,4,5
CamC_0506.jpg,2018-12-20 10:37:49,,new,3,3,7
CamC_0507.jpg,2018-12-20 10:47:50,3,train,3,3,4
CamC_0508.jpg,2018-12-20 10:57:51,,new,2,3,4
CamC_0509.jpg,2018-12-20 11:07:52,,new,2,4,5
CamC_0510.jpg,2018-12-20 11:17:53,,new,3,4,7
CamC_0511.jpg,2018-12-20 11:27:53,,new,5,5,7
CamC_0512.jpg,2018-12-20 11:37:54,,new,5,5,7
CamC_0513.jpg,2018-12-20 11:47:55,,new,4,4,4
CamC_0514.jpg,2018-12-20 11:57:56,,new,4,5,8
CamC_0515.jpg,2018-12-20 12:07:57,,new,4,4,8
CamC_0516.jpg,2018-12-20 12:17:58,,new,4,4,7
CamC_0517.jpg,2018-12-20 12:27:59,,new,4,4,5
CamC_0518.jpg,2018-12-20 12:38:00,,new,4,4,7
CamC_0519.jpg,2018-12-20 12:48:01,,new,4,5,8
CamC_0520.jpg,2018-12-20 12:58:02,,new,3,4,5
CamC_0521.jpg,2018-12-20 13:08:03,,new,3,4,5
CamC_0522.jpg,2018-12-20 13:18:04,,new,3,4,5
CamC_0523.jpg,2018-12-20 13:28:05,,new,3,4,4
CamC_0524.jpg,2018-12-20 13:38:06,,new,4,4,5
CamC_0525.jpg,2018-12-20 13:48:07,,new,4,4,5
CamC_0526.jpg,2018-12-20 13:58:08,,new,4,4,7
